LONGITUD,LATITUD,ACTIVIDAD,TIPO,ESTADO
-76.84167805,-6.12385326,Transportes,ITS,Aprobado
-75.18326209,-14.53932181,Transportes,Clasificacion,Aprobado
-74.52175233,-15.67244689,Transportes,Clasificacion,Aprobado
-70.39899865,-13.15209764,Mineria,ITS,Aprobado
-70.39899865,-13.15209764,Mineria,ITS,Aprobado
-70.39899865,-13.15209764,Mineria,ITS,Aprobado
-70.39899865,-13.15209764,Mineria,ITS,Aprobado
-70.39899865,-13.15209764,Mineria,ITS,Aprobado
-73.60211956,-12.90625629,Transportes,Clasificacion,Aprobado
-76.15976918,-10.64982749,Transportes,Clasificacion,Aprobado
-76.17274282,-13.77788738,Mineria,ITS,Aprobado
-80.75123974,-5.15656882,Transportes,ITS,Aprobado
-76.47083287,-9.87992318,Transportes,ITS,Aprobado
-71.60562191,-13.66068724,Transportes,ITS,Aprobado
-69.14387705,-12.23857584,Transportes,ITS,Aprobado
-70.89579055,-13.52613218,Transportes,ITS,Aprobado
-78.5205,-6.9862,Mineria,MEIA-d,Aprobado
-78.62061249,-6.76329946,Mineria,ITS,Aprobado
-81.2014,-4.588,Hidrocarburos,ITS,Aprobado
-76.11069864,-11.6993171,Mineria,Clasificacion,Aprobado
-77.3679,-9.1498,Electricidad,Clasificacion,Aprobado
-78.2019,-7.6121,Mineria,ITS,Aprobado
-72.88,-11.8096,Hidrocarburos,ITS,Aprobado
-75.01590569,-15.37062955,Electricidad,Clasificacion,Aprobado
-73.17972761,-14.72682934,Mineria,ITS,Aprobado
-77.92941517,-6.05028871,Transportes,ITS,Aprobado
-76.69256759,-10.62937221,Mineria,ITS,Aprobado
-70.73324014,-17.05015761,Mineria,ITS,Aprobado
-70.64370481,-17.11625312,Mineria,ITS,Aprobado
-69.17039195,-12.31235719,Transportes,ITS,Aprobado
-71.67149614,-16.26308573,Transportes,Clasificacion,Aprobado
-71.58299055,-16.52561525,Mineria,ITS,Aprobado
-75.99093623,-13.08875296,Mineria,ITS,Aprobado
-69.31032148,-12.57634558,Transportes,ITS,Aprobado
-76.26274008,-9.94133801,Transporte,ITS,Aprobado
-77.41777008,-4.5720948,Transporte,Clasificacion,Aprobado
-76.88989191,-11.97599743,Residuos Solidos,Clasificacion,Aprobado
-76.881453,-11.968336,Mineria,ITS,Aprobado
-81.28099823,-4.579,Hidrocarburos,ITS,Aprobado
-70.39899865,-13.15209764,Electricidad,ITS,Aprobado
-70.39899865,-13.15209764,Mineria,Clasificacion,Aprobado
-76.8656173,-11.98051765,Electricidad,ITS,Aprobado
-78.85800693,-6.00821737,Transportes,ITS,Aprobado
-70.35521673,-15.0394639,Transportes,Clasificacion,Aprobado
-76.58869042,-3.87773305,Transportes,Clasificacion,Aprobado
-76.96519849,-12.21193688,Electricidad,Clasificacion,Aprobado
-77.06230109,-11.97675137,Transportes,Clasificacion,Aprobado
-70.39899865,-13.15209764,Mineria,ITS,Aprobado
-70.39899865,-13.15209764,Mineria,PPC,Aprobado
-76.99443396,-12.11234726,Electricidad,Clasificacion,Aprobado
-78.27049889,-9.720189,Transportes,ITS,Aprobado
-77.0335,-9.9549,Mineria,EIA-d,Aprobado
-80.05884245,-6.22232817,Agricultura,Clasificacion,Aprobado
-81.26461719,-4.60383031,Hidrocarburos,ITS,Aprobado
-71.19021831,-17.77720378,Electricidad,ITS,Aprobado
-70.3254,-14.2296,Mineria,ITS,Aprobado
